"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\TrendingComponent.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 1, 8, 107
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\UserSearchResultComponent.jsx", "JavaScript JSX", 0, 156, 0, 0, 0, 3, 10, 169
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\UserStatsComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\WriteReviewComponent.jsx", "JavaScript JSX", 0, 449, 0, 0, 0, 55, 55, 559
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\lists\ListComponent.jsx", "JavaScript JSX", 0, 287, 0, 0, 0, 25, 38, 350
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\components\lists\TierListComponent.jsx", "JavaScript JSX", 0, 498, 0, 0, 0, 31, 51, 580
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\context\AuthContext.js", "JavaScript", 27, 0, 0, 0, 0, 0, 9, 36
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\firebase.config.js", "JavaScript", 14, 0, 0, 0, 0, 7, 4, 25
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\helperFunctions\backlogRecommendation.js", "JavaScript", 15, 0, 0, 0, 0, 3, 4, 22
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\helperFunctions\checkGameCache.js", "JavaScript", 61, 0, 0, 0, 0, 4, 9, 74
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\helperFunctions\commentNotifications.js", "JavaScript", 40, 0, 0, 0, 0, 3, 4, 47
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\helperFunctions\commentsUpvotes.js", "JavaScript", 92, 0, 0, 0, 0, 4, 8, 104
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\helperFunctions\computeNewRatingFunction.js", "JavaScript", 25, 0, 0, 0, 0, 1, 3, 29
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\helperFunctions\listsUpvotes.js", "JavaScript", 71, 0, 0, 0, 0, 2, 8, 81
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\helperFunctions\toasts.js", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\index.js", "JavaScript", 7, 0, 0, 0, 0, 7, 4, 18
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\AboutUsPage.jsx", "JavaScript JSX", 0, 255, 0, 0, 0, 0, 21, 276
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\AuthenticationPage.jsx", "JavaScript JSX", 0, 121, 0, 0, 0, 15, 13, 149
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\BacklogPage.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\CreateUserPage.jsx", "JavaScript JSX", 0, 296, 0, 0, 0, 67, 26, 389
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\FAQPage.jsx", "JavaScript JSX", 0, 272, 0, 0, 0, 169, 19, 460
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\GamePage.jsx", "JavaScript JSX", 0, 654, 0, 0, 0, 81, 78, 813
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\GamesReviewedPage.jsx", "JavaScript JSX", 0, 289, 0, 0, 0, 16, 26, 331
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\HomePage.jsx", "JavaScript JSX", 0, 213, 0, 0, 0, 32, 27, 272
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\ListsPage.jsx", "JavaScript JSX", 0, 330, 0, 0, 0, 12, 43, 385
"c:\Users\amand\Code\source\repos\leaderboard\frontend\src\pages\NotFoundPage.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 5, 57
